,make,model,engine_size,transmission,cylinders,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,emissions
1230,FORD,MUSTANG CONVERTIBLE,3.7,A6,6.0,12.5,8.2,10.6,244.0
1231,FORD,MUSTANG CONVERTIBLE,5.0,AS10,8.0,15.5,10.0,13.1,305.0
1232,FORD,MUSTANG CONVERTIBLE,5.0,AS6,8.0,15.433333333333332,10.1,13.066666666666668,304.0
1233,FORD,MUSTANG CONVERTIBLE,5.0,M6,8.0,16.7,10.2,13.8,324.0
1234,FORD,Mustang,2.3,AS10,4.0,11.2,7.3,9.4,221.0
1235,FORD,Mustang,2.3,M6,4.0,11.2,7.9,9.7,226.5
1236,FORD,Mustang,5.0,AS10,8.0,15.0,9.1,12.3,289.0
1237,FORD,Mustang,5.0,M6,8.0,16.1,9.9,13.3,311.5
1238,FORD,Mustang (Performance Pkg),2.3,AS10,4.0,11.8,8.4,10.3,242.0
1239,FORD,Mustang (Performance Pkg),2.3,M6,4.0,11.8,8.7,10.4,244.0
1240,FORD,Mustang Bullitt,5.0,M6,8.0,16.25,10.05,13.45,315.0
1241,FORD,Mustang Convertible,2.3,AS10,4.0,11.850000000000001,8.4,10.350000000000001,242.5
1242,FORD,Mustang Convertible,2.3,M6,4.0,11.8,8.4,10.3,240.5
1243,FORD,Mustang Convertible,5.0,AS10,8.0,15.4,9.7,12.9,302.5
1244,FORD,Mustang Convertible (Performance Pkg),2.3,AS10,4.0,11.8,8.7,10.4,244.0
1245,FORD,Mustang Convertible (Performance Pkg),2.3,M6,4.0,12.1,9.1,10.7,252.0
1246,FORD,Ranger 4WD,2.3,AS10,4.0,11.8,9.8,10.9,256.0
1247,FORD,SHELBY GT350 MUSTANG,5.2,M6,8.0,17.099999999999998,11.200000000000001,14.466666666666667,338.6666666666667
1248,FORD,Shelby GT350 Mustang,5.2,M6,8.0,17.15,11.350000000000001,14.55,341.5
1249,FORD,Shelby GT500 Mustang,5.2,AM7,8.0,19.9,12.7,16.7,392.0
1250,FORD,T-150 WAGON,3.5,AS6,6.0,16.275000000000002,12.7,14.649999999999999,342.25
1251,FORD,T-150 WAGON,3.7,AS6,6.0,16.8,13.1,15.1,354.0
1252,FORD,T-150 WAGON FFV,3.7,AS6,6.0,19.716666666666665,15.433333333333332,17.78333333333333,342.1666666666667
1253,FORD,T-150 Wagon,3.5,AS6,6.0,16.2,12.8,14.7,346.0
1254,FORD,T-150 Wagon,3.7,AS6,6.0,16.9,13.1,15.2,355.0
1255,FORD,T-150 Wagon FFV,3.5,AS10,6.0,18.85,14.25,16.8,328.0
1256,FORD,T-150 Wagon FFV 4WD,3.5,AS10,6.0,19.4,14.8,17.4,340.0
1257,FORD,TAURUS,2.0,AS6,4.0,11.149999999999999,7.725,9.6,223.25
1258,FORD,TAURUS AWD,3.5,AS6,6.0,14.319999999999999,9.7,12.24,285.0
1259,FORD,TAURUS FFV,3.5,AS6,6.0,15.079999999999998,9.98,12.79,246.6
1260,FORD,TAURUS FFV AWD,3.5,AS6,6.0,16.009999999999998,11.300000000000002,14.030000000000001,271.1
1261,FORD,TRANSIT CONNECT,1.6,AS6,4.0,10.8,8.0,9.5,218.0
1262,FORD,TRANSIT CONNECT,2.5,AS6,4.0,11.3,8.2,9.9,228.0
1263,FORD,TRANSIT CONNECT TAXI,1.6,AS6,4.0,11.5,8.3,10.1,232.0
1264,FORD,TRANSIT CONNECT VAN,1.6,AS6,4.0,10.7,7.95,9.45,219.5
1265,FORD,TRANSIT CONNECT VAN,2.5,AS6,4.0,11.600000000000001,8.399999999999999,10.15,235.5
1266,FORD,TRANSIT CONNECT VAN FFV,2.5,AS6,4.0,14.016666666666667,10.266666666666667,12.316666666666668,238.66666666666666
1267,FORD,TRANSIT CONNECT WAGON,2.5,AS6,4.0,12.0,8.533333333333333,10.433333333333334,242.0
1268,FORD,TRANSIT CONNECT WAGON FFV,2.5,AS6,4.0,14.600000000000001,10.35,12.649999999999999,246.0
1269,FORD,TRANSIT CONNECT WAGON LWB,2.5,AS6,4.0,12.4,8.7,10.7,252.0
1270,FORD,TRANSIT CONNECT WAGON LWB FFV,2.5,AS6,4.0,14.583333333333334,10.416666666666668,12.700000000000001,246.5
1271,FORD,TRANSIT CONNECT WAGON TAXI,2.5,AS6,4.0,12.0,8.5,10.4,239.0
1272,FORD,Taurus AWD,3.5,AS6,6.0,14.6,10.0,12.5,294.0
1273,FORD,Taurus FFV,3.5,AS6,6.0,15.65,10.55,13.35,262.0
1274,FORD,Taurus FFV AWD,3.5,AS6,6.0,16.25,11.45,14.2,279.0
